timestamp	overall_score	composition_score	revitalization_score	duration_score	deep_sleep_in_minutes	resting_heart_rate	restlessness
2020-03-10T06:28:30Z	73	20	15	38	65	78	0.048752834
2020-03-08T08:10:30Z	80	19	20	41	77	79	0.073937153
2020-03-07T07:10:30Z	76	20	15	41	92	77	0.06345957
2020-03-05T06:33:00Z	83	21	19	43	81	76	0.050658561
2020-03-04T06:32:30Z	83	21	20	42	81	76	0.059685864
2020-03-03T06:33:00Z	85	22	21	42	107	77	0.070480082
2020-03-02T06:31:00Z	80	20	19	41	75	77	0.084435402
2020-02-26T06:32:30Z	80	22	16	42	91	77	0.072992701
2020-02-24T06:15:30Z	70	17	19	34	64	80	0.134751773
2020-02-23T07:12:30Z	78	18	22	38	54	80	0.078723404
2020-02-11T04:19:30Z	77	21	20	36	52	80	0.078853047
2020-02-10T06:32:00Z	72	21	12	39	68	77	0.136760427
2020-02-09T06:04:30Z	79	21	15	43	51	76	0.06900103
2020-02-08T06:58:00Z	76	21	14	41	50	76	0.069238378
2020-02-07T07:06:30Z	73	20	14	39	61	76	0.055878929
2020-02-06T06:29:00Z	74	17	12	45	85	76	0.095754291
2020-02-04T06:22:30Z	86	23	18	45	109	76	0.074221868
2020-02-03T05:09:30Z	73	17	14	42	83	77	0.232649071
2019-12-09T06:32:30Z	79	20	19	40	63	76	0.044493882
2019-12-07T07:41:00Z	73	18	13	42	84	73	0.072164948
2019-12-04T06:31:30Z	83	22	19	42	89	73	0.052576236
2019-12-03T06:17:00Z	79	21	19	39	82	74	0.072302558
2019-12-01T07:25:30Z	80	21	17	42	78	74	0.077526987
2019-11-30T07:03:30Z	77	20	14	43	60	72	0.052518757
2019-11-28T06:56:00Z	84	21	23	40	53	74	0.053964758
2019-11-27T07:18:30Z	83	23	14	46	118	72	0.076707203
2019-11-26T06:34:00Z	82	17	22	43	78	73	0.060215054
2019-11-25T06:32:30Z	84	21	20	43	75	74	0.063921993
2019-11-24T07:07:00Z	82	19	20	43	70	75	0.067745197
2019-11-23T06:59:00Z	78	19	16	43	83	74	0.073891626
2019-11-22T06:31:00Z	83	21	20	42	84	74	0.065539112
2019-11-21T06:31:00Z	81	18	20	43	59	75	0.064413939
2019-11-20T06:32:00Z	80	21	16	43	82	74	0.061116965
2019-11-19T06:28:00Z	84	20	21	43	91	76	0.068205666
2019-11-18T06:32:00Z	85	21	21	43	47	78	0.062695925
2019-11-17T07:20:00Z	81	21	17	43	61	78	0.062992126
2019-11-16T07:10:00Z	78	20	13	45	77	76	0.089579525
2019-11-15T06:46:00Z	73	21	14	38	73	75	0.064159292
2019-11-14T06:31:00Z	76	21	15	40	64	74	0.074643249
2019-11-13T06:29:30Z	77	18	20	39	88	75	0.067403315
2019-11-12T06:28:30Z	75	20	14	41	81	73	0.081192189
2019-11-11T06:31:30Z	82	22	18	42	86	73	0.066734075
2019-11-09T06:51:30Z	74	21	15	38	107	71	0.084311633
2019-11-08T06:31:30Z	76	19	15	42	70	70	0.074303406
2019-11-07T06:31:00Z	73	19	14	40	95	67	0.052272727
2019-11-06T06:19:30Z	83	21	19	43	78	68	0.068783069
2019-11-05T06:31:00Z	84	21	21	42	80	69	0.066950053
2019-11-04T06:30:30Z	81	18	21	42	52	70	0.043303122
2019-11-03T06:29:30Z	76	21	18	37	41	70	0.088457389
2019-11-02T06:30:30Z	87	21	23	43	65	71	0.055036345
2019-11-01T06:31:30Z	84	21	20	43	82	72	0.060240964
2019-10-31T06:32:30Z	88	22	24	42	132	74	0.040728832
2019-10-30T06:31:00Z	76	20	19	37	60	75	0.060506051
2019-10-29T06:31:00Z	77	20	18	39	65	75	0.056647399
2019-10-28T06:32:30Z	85	21	22	42	51	76	0.055913978
2019-10-27T07:45:30Z	80	19	16	45	88	75	0.055197792
2019-10-26T07:04:30Z	74	18	17	39	71	74	0.082802548
2019-10-25T06:31:30Z	79	17	19	43	68	74	0.071498531
2019-10-24T06:31:30Z	81	21	20	40	71	75	0.074860335
2019-10-23T07:04:30Z	81	23	18	40	107	75	0.111665005
2019-10-22T06:32:00Z	85	21	21	43	66	77	0.080906149
2019-10-21T06:32:30Z	86	21	23	42	73	79	0.090137858
2019-10-20T08:35:00Z	85	19	21	45	90	79	0.078291815
2019-10-19T10:15:30Z	83	22	15	46	86	76	0.062172285
2019-10-18T06:31:30Z	78	20	12	46	70	74	0.073215941
2019-10-17T06:31:30Z	81	21	14	46	61	72	0.061188811
2019-10-16T06:40:30Z	80	21	17	42	94	71	0.06820365
2019-10-15T06:31:30Z	66	17	17	32	42	71	0.123368921
2019-10-14T07:36:30Z	75	20	15	40	91	69	0.051311288
2019-10-13T07:49:00Z	67	17	13	37	73	68	0.068965517
2019-10-12T07:30:30Z	78	17	19	42	60	68	0.079923882
2019-10-11T07:06:30Z	68	17	14	37	89	67	0.082474227
2019-10-10T06:07:30Z	73	20	16	37	110	66	0.075575027
2019-10-09T06:33:30Z	77	17	19	41	58	66	0.085249042
2019-10-08T04:05:30Z	76	20	18	38	77	67	0.053361793
2019-10-06T06:42:30Z	53	15	13	25	32	65	0.060542797
2019-10-05T06:09:30Z	69	17	18	34	67	66	0.082860386
2019-10-04T06:26:30Z	82	20	21	41	46	68	0.051964512
2019-10-03T06:31:30Z	83	21	19	43	72	69	0.083243243
2019-10-02T06:32:30Z	86	21	22	43	78	71	0.05
2019-10-01T06:32:30Z	78	21	17	40	75	71	0.072834646
2019-09-30T06:38:30Z	77	21	18	38	68	71	0.086673889
2019-09-29T07:36:30Z	79	18	20	41	72	73	0.082840237
2019-09-28T07:29:00Z	78	18	20	40	71	74	0.046563193
2019-09-27T06:32:00Z	74	19	20	35	85	75	0.067015707
2019-09-26T06:31:00Z	73	20	15	38	49	74	0.071278826
2019-09-25T07:21:30Z	74	19	13	42	78	72	0.07204611
2019-09-24T06:32:00Z	83	20	20	43	70	73	0.062827225
2019-09-23T06:31:00Z	80	21	17	42	78	73	0.07788162
2019-09-22T07:10:30Z	74	20	13	41	81	71	0.078078078
2019-09-20T06:31:00Z	79	20	19	40	56	70	0.043533931
2019-09-19T06:31:00Z	80	20	22	38	66	72	0.057074911
2019-09-18T06:30:30Z	83	23	21	39	116	73	0.043575419
2019-09-17T06:31:00Z	80	21	21	38	62	74	0.073459716
2019-09-16T06:31:00Z	83	23	17	43	114	73	0.043383948
2019-09-15T07:13:00Z	72	19	14	39	81	70	0.06938326
2019-09-14T07:05:00Z	75	23	13	39	107	69	0.054209919
2019-09-13T06:30:00Z	72	17	16	39	65	67	0.053452116
2019-09-12T06:31:00Z	78	22	17	39	85	67	0.069119287
2019-09-11T06:32:00Z	76	21	17	38	79	66	0.067027027
2019-09-10T06:27:00Z	85	21	22	42	61	67	0.062433862
2019-09-09T06:32:00Z	83	22	19	42	85	68	0.064833006
2019-09-08T06:54:30Z	81	21	21	39	68	68	0.058050383
2019-09-07T07:12:00Z	83	20	20	43	77	69	0.0602537
2019-09-06T06:31:00Z	85	21	21	43	64	69	0.060240964
2019-09-05T06:31:30Z	80	21	20	39	91	68	0.080522307
2019-09-04T06:31:00Z	84	19	22	43	56	70	0.069370331
2019-09-03T06:31:00Z	86	21	23	42	70	72	0.068965517
2019-09-01T07:29:30Z	76	16	19	41	79	72	0.085167464
2019-08-31T07:37:30Z	80	17	22	41	79	73	0.074418605
2019-08-30T06:32:00Z	78	21	18	39	68	72	0.061315496
2019-08-29T06:32:00Z	84	21	21	42	87	74	0.077486911
2019-08-22T06:36:30Z	84	19	23	42	64	77	0.057359307
